Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.933100000000000023e+02,2.937299999999999613e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.931499999999999773e+02,2.937599999999999909e+02
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932399999999999523e+02,2.937299999999999613e+02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932099999999999795e+02,2.937299999999999613e+02
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.931799999999999500e+02,2.937299999999999613e+02
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932699999999999818e+02,2.937299999999999613e+02
6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.932399999999999523e+02,2.937299999999999613e+02
7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.932399999999999523e+02,2.940199999999999818e+02
8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.933399999999999750e+02,2.941099999999999568e+02
9.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.932399999999999523e+02,2.941099999999999568e+02
1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.932399999999999523e+02,2.940199999999999818e+02
1.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.932699999999999818e+02,2.941499999999999773e+02
1.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.932699999999999818e+02,2.941499999999999773e+02
1.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933999999999999773e+02,2.943100000000000023e+02
1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933700000000000045e+02,2.943700000000000045e+02
1.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933100000000000023e+02,2.941799999999999500e+02
1.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933999999999999773e+02,2.943700000000000045e+02
1.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933399999999999750e+02,2.944399999999999977e+02
1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933999999999999773e+02,2.946899999999999977e+02
1.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933999999999999773e+02,2.946299999999999955e+02
2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933399999999999750e+02,2.948499999999999659e+02
2.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933999999999999773e+02,2.947299999999999613e+02
2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933999999999999773e+02,2.949499999999999886e+02
2.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,2.933999999999999773e+02,2.948899999999999864e+02
