Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.923700000000000045e+02,2.927900000000000205e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.924399999999999977e+02,2.928899999999999864e+02
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.924399999999999977e+02,2.927900000000000205e+02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.924399999999999977e+02,2.929200000000000159e+02
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.923999999999999773e+02,2.929499999999999886e+02
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.924399999999999977e+02,2.929499999999999886e+02
6.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.924399999999999977e+02,2.929200000000000159e+02
7.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.924399999999999977e+02,2.929499999999999886e+02
8.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.924399999999999977e+02,2.929800000000000182e+02
9.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.924399999999999977e+02,2.928899999999999864e+02
1.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.924399999999999977e+02,2.930199999999999818e+02
1.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.924399999999999977e+02,2.930199999999999818e+02
1.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.924399999999999977e+02,2.929499999999999886e+02
1.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.925699999999999932e+02,2.929200000000000159e+02
1.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.927300000000000182e+02,2.929800000000000182e+02
1.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.927599999999999909e+02,2.930199999999999818e+02
1.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.928899999999999864e+02,2.929499999999999886e+02
1.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.930799999999999841e+02,2.930500000000000114e+02
1.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.931800000000000068e+02,2.930500000000000114e+02
1.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.933999999999999773e+02,2.930500000000000114e+02
2.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.936600000000000250e+02,2.930799999999999841e+02
2.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.938899999999999864e+02,2.930799999999999841e+02
2.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.940500000000000114e+02,2.930799999999999841e+02
2.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.943700000000000045e+02,2.930500000000000114e+02
2.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.946600000000000250e+02,2.930799999999999841e+02
2.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.949200000000000159e+02,2.930799999999999841e+02
2.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.951399999999999864e+02,2.930799999999999841e+02
2.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.953399999999999750e+02,2.930799999999999841e+02
2.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.957200000000000273e+02,2.930799999999999841e+02
2.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.959800000000000182e+02,2.930799999999999841e+02
3.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.963000000000000114e+02,2.930799999999999841e+02
3.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.966299999999999955e+02,2.930799999999999841e+02
3.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.969499999999999886e+02,2.930799999999999841e+02
3.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.972699999999999818e+02,2.930799999999999841e+02
3.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.976299999999999955e+02,2.931100000000000136e+02
3.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.981100000000000136e+02,2.930799999999999841e+02
3.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.985600000000000023e+02,2.930799999999999841e+02
3.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.988799999999999955e+02,2.930799999999999841e+02
3.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.991700000000000159e+02,2.931100000000000136e+02
3.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.995299999999999727e+02,2.932699999999999818e+02
4.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.998500000000000227e+02,2.933399999999999750e+02
4.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.001700000000000159e+02,2.933999999999999773e+02
4.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.006899999999999977e+02,2.933999999999999773e+02
4.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.011100000000000136e+02,2.933999999999999773e+02
4.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.014599999999999795e+02,2.933999999999999773e+02
4.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.017799999999999727e+02,2.933999999999999773e+02
4.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.021100000000000136e+02,2.933999999999999773e+02
4.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.024599999999999795e+02,2.934399999999999977e+02
4.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.029800000000000182e+02,2.935299999999999727e+02
4.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.033899999999999864e+02,2.936600000000000250e+02
5.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.037200000000000273e+02,2.936600000000000250e+02
5.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.040699999999999932e+02,2.937300000000000182e+02
5.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.045199999999999818e+02,2.937300000000000182e+02
5.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.049399999999999977e+02,2.937300000000000182e+02
5.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.053299999999999841e+02,2.937300000000000182e+02
5.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.056499999999999773e+02,2.937900000000000205e+02
5.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.059700000000000273e+02,2.938600000000000136e+02
5.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.065500000000000114e+02,2.940199999999999818e+02
5.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.069399999999999977e+02,2.940500000000000114e+02
5.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.072599999999999909e+02,2.940500000000000114e+02
6.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.076200000000000045e+02,2.940500000000000114e+02
6.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.081299999999999955e+02,2.940500000000000114e+02
6.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.085199999999999818e+02,2.942099999999999795e+02
6.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.088700000000000045e+02,2.942400000000000091e+02
6.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.091899999999999977e+02,2.943700000000000045e+02
6.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.095199999999999818e+02,2.943700000000000045e+02
6.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.099700000000000273e+02,2.943700000000000045e+02
6.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.104499999999999886e+02,2.943700000000000045e+02
6.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.108100000000000023e+02,2.945000000000000000e+02
6.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.111299999999999955e+02,2.946899999999999977e+02
7.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.114499999999999886e+02,2.946899999999999977e+02
7.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.118700000000000045e+02,2.946899999999999977e+02
7.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.122599999999999909e+02,2.946899999999999977e+02
7.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.127400000000000091e+02,2.947300000000000182e+02
7.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.130600000000000023e+02,2.949200000000000159e+02
7.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.133799999999999955e+02,2.950199999999999818e+02
7.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.137099999999999795e+02,2.950199999999999818e+02
7.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.140899999999999750e+02,2.950199999999999818e+02
7.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.145400000000000205e+02,2.950500000000000114e+02
7.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.149300000000000068e+02,2.952400000000000091e+02
8.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.152900000000000205e+02,2.953399999999999750e+02
8.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.156399999999999864e+02,2.953399999999999750e+02
8.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.159599999999999795e+02,2.953700000000000045e+02
8.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.162799999999999727e+02,2.953399999999999750e+02
8.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.166100000000000136e+02,2.956299999999999955e+02
8.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.169300000000000068e+02,2.956299999999999955e+02
8.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.174100000000000250e+02,2.956600000000000250e+02
8.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.177300000000000182e+02,2.956600000000000250e+02
8.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.182200000000000273e+02,2.959499999999999886e+02
8.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.185400000000000205e+02,2.959800000000000182e+02
9.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.188299999999999841e+02,2.959800000000000182e+02
9.100000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.191899999999999977e+02,2.959800000000000182e+02
9.200000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.195099999999999909e+02,2.960799999999999841e+02
9.300000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.198299999999999841e+02,2.963000000000000114e+02
9.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.201499999999999773e+02,2.963000000000000114e+02
9.500000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.204700000000000273e+02,2.963000000000000114e+02
9.600000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.208000000000000114e+02,2.963999999999999773e+02
9.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.211200000000000045e+02,2.966299999999999955e+02
9.800000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.215099999999999909e+02,2.966299999999999955e+02
9.900000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.218299999999999841e+02,2.966299999999999955e+02
1.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.220899999999999750e+02,2.968500000000000227e+02
1.010000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.224100000000000250e+02,2.969499999999999886e+02
1.020000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.228600000000000136e+02,2.969499999999999886e+02
1.030000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.231499999999999773e+02,2.969499999999999886e+02
1.040000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.234700000000000273e+02,2.970799999999999841e+02
1.050000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.238299999999999841e+02,2.972699999999999818e+02
1.060000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.241800000000000068e+02,2.972699999999999818e+02
1.070000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.244700000000000273e+02,2.972699999999999818e+02
1.080000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.248899999999999864e+02,2.975600000000000023e+02
1.090000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.250799999999999841e+02,2.975899999999999750e+02
1.100000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.253100000000000023e+02,2.975899999999999750e+02
1.110000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.256299999999999955e+02,2.975899999999999750e+02
1.120000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.259800000000000182e+02,2.978199999999999932e+02
1.130000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.262799999999999727e+02,2.979200000000000159e+02
1.140000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.266000000000000227e+02,2.979200000000000159e+02
1.150000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.269200000000000159e+02,2.979800000000000182e+02
1.160000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.272400000000000091e+02,2.982099999999999795e+02
1.170000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.275600000000000023e+02,2.982400000000000091e+02
1.180000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.278899999999999864e+02,2.982699999999999818e+02
1.190000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.282099999999999795e+02,2.985000000000000000e+02
1.200000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.285299999999999727e+02,2.985600000000000023e+02
1.210000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.288199999999999932e+02,2.985600000000000023e+02
1.220000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.290500000000000114e+02,2.986200000000000045e+02
1.230000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.291800000000000068e+02,2.988799999999999955e+02
1.240000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.295000000000000000e+02,2.988799999999999955e+02
1.250000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.298199999999999932e+02,2.988799999999999955e+02
1.260000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.301399999999999864e+02,2.990400000000000205e+02
1.270000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.304599999999999795e+02,2.991999999999999886e+02
1.280000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.307900000000000205e+02,2.991999999999999886e+02
1.290000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.310799999999999841e+02,2.993700000000000045e+02
1.300000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.313299999999999841e+02,2.995299999999999727e+02
1.310000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.314599999999999795e+02,2.995299999999999727e+02
1.320000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.317500000000000000e+02,2.995299999999999727e+02
1.330000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.320799999999999841e+02,2.997200000000000273e+02
1.340000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.323700000000000045e+02,2.998500000000000227e+02
1.350000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.326600000000000250e+02,2.998500000000000227e+02
1.360000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.327799999999999727e+02,2.999499999999999886e+02
1.370000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.330400000000000205e+02,3.001700000000000159e+02
1.380000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.333600000000000136e+02,3.001700000000000159e+02
1.390000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.336899999999999977e+02,3.001700000000000159e+02
1.400000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.339100000000000250e+02,3.001999999999999886e+02
1.410000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.340400000000000205e+02,3.004599999999999795e+02
1.420000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.343299999999999841e+02,3.004900000000000091e+02
1.430000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.346499999999999773e+02,3.005600000000000023e+02
1.440000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.349399999999999977e+02,3.006899999999999977e+02
1.450000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.350699999999999932e+02,3.008199999999999932e+02
1.460000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.353000000000000114e+02,3.008199999999999932e+02
1.470000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.356200000000000045e+02,3.008799999999999955e+02
1.480000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.359100000000000250e+02,3.011100000000000136e+02
1.490000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.359399999999999977e+02,3.011399999999999864e+02
