Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.933999999999999773e+02,2.939199999999999591e+02
1.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.938599999999999568e+02
2.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.939199999999999591e+02
3.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.940799999999999841e+02
4.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.939499999999999886e+02
5.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.939499999999999886e+02
6.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.939499999999999886e+02
7.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.940499999999999545e+02
8.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.940499999999999545e+02
9.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000000e+01,2.933999999999999773e+02,2.940799999999999841e+02
1.000000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.935999999999999659e+02,2.940499999999999545e+02
1.100000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.937299999999999613e+02,2.941099999999999568e+02
1.200000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.937299999999999613e+02,2.941099999999999568e+02
1.300000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.937299999999999613e+02,2.941099999999999568e+02
1.400000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.939499999999999886e+02,2.941099999999999568e+02
1.500000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.940499999999999545e+02,2.940499999999999545e+02
1.600000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.940499999999999545e+02,2.940499999999999545e+02
1.700000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.942099999999999795e+02,2.941499999999999773e+02
1.800000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.943700000000000045e+02,2.941499999999999773e+02
1.900000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.943999999999999773e+02,2.941799999999999500e+02
2.000000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.946899999999999977e+02,2.942099999999999795e+02
2.100000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.946899999999999977e+02,2.942699999999999818e+02
2.200000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.949199999999999591e+02,2.943700000000000045e+02
2.300000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.950199999999999818e+02,2.944399999999999977e+02
2.400000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.951799999999999500e+02,2.944399999999999977e+02
2.500000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.953399999999999750e+02,2.944699999999999704e+02
2.600000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.955600000000000023e+02,2.944399999999999977e+02
2.700000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.956599999999999682e+02,2.943700000000000045e+02
2.800000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.958499999999999659e+02,2.945000000000000000e+02
2.900000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.959799999999999613e+02,2.945600000000000023e+02
3.000000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.962699999999999818e+02,2.946899999999999977e+02
3.100000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.963399999999999750e+02,2.947599999999999909e+02
3.200000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.966299999999999955e+02,2.947599999999999909e+02
3.300000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.967199999999999704e+02,2.946899999999999977e+02
3.400000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.969499999999999886e+02,2.947599999999999909e+02
3.500000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.971399999999999864e+02,2.948499999999999659e+02
3.600000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.972699999999999818e+02,2.950499999999999545e+02
3.700000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.975600000000000023e+02,2.950799999999999841e+02
3.800000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.975899999999999750e+02,2.950199999999999818e+02
3.900000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.979199999999999591e+02,2.950799999999999841e+02
4.000000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.981399999999999864e+02,2.951099999999999568e+02
4.100000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.982399999999999523e+02,2.951799999999999500e+02
4.200000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.985299999999999727e+02,2.952399999999999523e+02
4.300000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.985899999999999750e+02,2.953100000000000023e+02
4.400000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.988799999999999955e+02,2.953399999999999750e+02
4.500000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.990399999999999636e+02,2.953999999999999773e+02
4.600000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.991999999999999886e+02,2.954299999999999500e+02
4.700000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.995299999999999727e+02,2.955000000000000000e+02
4.800000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.995899999999999750e+02,2.956599999999999682e+02
4.900000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,2.998499999999999659e+02,2.957199999999999704e+02
5.000000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,3.001399999999999864e+02,2.956599999999999682e+02
5.100000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,3.001699999999999591e+02,2.957199999999999704e+02
