Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC)
0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
1.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
2.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
3.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
4.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
5.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
6.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
7.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
8.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
9.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.979199999999999591e+02
1.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.972999999999999545e+02,2.979199999999999591e+02
1.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.975600000000000023e+02,2.979199999999999591e+02
1.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.975899999999999750e+02,2.979199999999999591e+02
1.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.975899999999999750e+02,2.979199999999999591e+02
1.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.975899999999999750e+02,2.979199999999999591e+02
1.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.976899999999999977e+02,2.979199999999999591e+02
1.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.979199999999999591e+02,2.979199999999999591e+02
1.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.979199999999999591e+02,2.979199999999999591e+02
1.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.980399999999999636e+02,2.979199999999999591e+02
1.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.982399999999999523e+02,2.979199999999999591e+02
2.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.982399999999999523e+02,2.979199999999999591e+02
2.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.984599999999999795e+02,2.979199999999999591e+02
2.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.985600000000000023e+02,2.979199999999999591e+02
2.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.986599999999999682e+02,2.979199999999999591e+02
2.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.988799999999999955e+02,2.979199999999999591e+02
2.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.989099999999999682e+02,2.978799999999999955e+02
2.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.991999999999999886e+02,2.979199999999999591e+02
2.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.992699999999999818e+02,2.979199999999999591e+02
2.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.995299999999999727e+02,2.979199999999999591e+02
2.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.995299999999999727e+02,2.979199999999999591e+02
3.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.998499999999999659e+02,2.979199999999999591e+02
3.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.999499999999999886e+02,2.979199999999999591e+02
3.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.001699999999999591e+02,2.979199999999999591e+02
3.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.001999999999999886e+02,2.979199999999999591e+02
3.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.004899999999999523e+02,2.979199999999999591e+02
3.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.005600000000000023e+02,2.979199999999999591e+02
3.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.008199999999999932e+02,2.979199999999999591e+02
3.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.010399999999999636e+02,2.979199999999999591e+02
3.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.011399999999999864e+02,2.979199999999999591e+02
3.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.012999999999999545e+02,2.979199999999999591e+02
4.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.014599999999999795e+02,2.979199999999999591e+02
4.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.017500000000000000e+02,2.979199999999999591e+02
4.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.017799999999999727e+02,2.979199999999999591e+02
4.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.021099999999999568e+02,2.979199999999999591e+02
4.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.021099999999999568e+02,2.979199999999999591e+02
4.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.024299999999999500e+02,2.979199999999999591e+02
4.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.025899999999999750e+02,2.979199999999999591e+02
4.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.027500000000000000e+02,2.979199999999999591e+02
4.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.030699999999999932e+02,2.979199999999999591e+02
4.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.030999999999999659e+02,2.979199999999999591e+02
5.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.033899999999999864e+02,2.979199999999999591e+02
5.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.034299999999999500e+02,2.980399999999999636e+02
5.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.037199999999999704e+02,2.980799999999999841e+02
5.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.039699999999999704e+02,2.980099999999999909e+02
5.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.040399999999999636e+02,2.981699999999999591e+02
5.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.043599999999999568e+02,2.982099999999999795e+02
5.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.043599999999999568e+02,2.982399999999999523e+02
5.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.046799999999999500e+02,2.982399999999999523e+02
5.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.047199999999999704e+02,2.982399999999999523e+02
5.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.050099999999999909e+02,2.982399999999999523e+02
6.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.050999999999999659e+02,2.982399999999999523e+02
6.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.053299999999999841e+02,2.982399999999999523e+02
6.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.056499999999999773e+02,2.982399999999999523e+02
6.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.056799999999999500e+02,2.982399999999999523e+02
6.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.059699999999999704e+02,2.982399999999999523e+02
6.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.060000000000000000e+02,2.982399999999999523e+02
6.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.062899999999999636e+02,2.982699999999999818e+02
6.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.064599999999999795e+02,2.982699999999999818e+02
6.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.066200000000000045e+02,2.983299999999999841e+02
6.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.069399999999999977e+02,2.983999999999999773e+02
7.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.069399999999999977e+02,2.985000000000000000e+02
7.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.071999999999999886e+02,2.985299999999999727e+02
7.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.072599999999999909e+02,2.985600000000000023e+02
7.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.075799999999999841e+02,2.985600000000000023e+02
7.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.075799999999999841e+02,2.985600000000000023e+02
7.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.079099999999999682e+02,2.985600000000000023e+02
7.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.079399999999999977e+02,2.985600000000000023e+02
7.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.082299999999999613e+02,2.985600000000000023e+02
7.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.082599999999999909e+02,2.985899999999999750e+02
7.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.085499999999999545e+02,2.985600000000000023e+02
8.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.085799999999999841e+02,2.986200000000000045e+02
8.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.088700000000000045e+02,2.987500000000000000e+02
8.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.090000000000000000e+02,2.987199999999999704e+02
8.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.091899999999999977e+02,2.988499999999999659e+02
8.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.092299999999999613e+02,2.988799999999999955e+02
8.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.095199999999999818e+02,2.988799999999999955e+02
8.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.095499999999999545e+02,2.988799999999999955e+02
8.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.098399999999999750e+02,2.988799999999999955e+02
8.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.099399999999999977e+02,2.988799999999999955e+02
8.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.101599999999999682e+02,2.988799999999999955e+02
9.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.102299999999999613e+02,2.989099999999999682e+02
9.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.104799999999999613e+02,2.991099999999999568e+02
9.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.105199999999999818e+02,2.990399999999999636e+02
9.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.108099999999999454e+02,2.991399999999999864e+02
9.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.108399999999999750e+02,2.991699999999999591e+02
9.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.111299999999999955e+02,2.991699999999999591e+02
9.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.111299999999999955e+02,2.991999999999999886e+02
9.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.114499999999999886e+02,2.991999999999999886e+02
9.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.114499999999999886e+02,2.991999999999999886e+02
9.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.117099999999999795e+02,2.991999999999999886e+02
1.000000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.117699999999999818e+02,2.991999999999999886e+02
1.010000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.120000000000000000e+02,2.992699999999999818e+02
1.020000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.120999999999999659e+02,2.994299999999999500e+02
1.030000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.122899999999999636e+02,2.995299999999999727e+02
1.040000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.124199999999999591e+02,2.995299999999999727e+02
1.050000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.125099999999999909e+02,2.995299999999999727e+02
1.060000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.127400000000000091e+02,2.995299999999999727e+02
1.070000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.127699999999999818e+02,2.995299999999999727e+02
1.080000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.130599999999999454e+02,2.995299999999999727e+02
1.090000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.130899999999999750e+02,2.995299999999999727e+02
1.100000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.133499999999999659e+02,2.995299999999999727e+02
1.110000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.133799999999999955e+02,2.995600000000000023e+02
1.120000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.135499999999999545e+02,2.997199999999999704e+02
1.130000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.137099999999999795e+02,2.998499999999999659e+02
1.140000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.137400000000000091e+02,2.998499999999999659e+02
1.150000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.140299999999999727e+02,2.998499999999999659e+02
1.160000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.140299999999999727e+02,2.998499999999999659e+02
1.170000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.143499999999999659e+02,2.998499999999999659e+02
1.180000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.143499999999999659e+02,2.998499999999999659e+02
1.190000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.146399999999999864e+02,3.000399999999999636e+02
1.200000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.146699999999999591e+02,3.000399999999999636e+02
