Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.938899999999999864e+02,2.946899999999999977e+02
1.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.937899999999999636e+02,2.946899999999999977e+02
2.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.939499999999999886e+02,2.946899999999999977e+02
3.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.939499999999999886e+02,2.946899999999999977e+02
4.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.939799999999999613e+02,2.946899999999999977e+02
5.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.940199999999999818e+02,2.946899999999999977e+02
6.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.940199999999999818e+02,2.946899999999999977e+02
7.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.940499999999999545e+02,2.946899999999999977e+02
8.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.940499999999999545e+02,2.946899999999999977e+02
9.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,2.940499999999999545e+02,2.946899999999999977e+02
1.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.940499999999999545e+02,2.946899999999999977e+02
1.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.942099999999999795e+02,2.946899999999999977e+02
1.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.943700000000000045e+02,2.946899999999999977e+02
1.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.943700000000000045e+02,2.946899999999999977e+02
1.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.943700000000000045e+02,2.946899999999999977e+02
1.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.946299999999999955e+02,2.946899999999999977e+02
1.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.946899999999999977e+02,2.946899999999999977e+02
1.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.946899999999999977e+02,2.946899999999999977e+02
1.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.949499999999999886e+02,2.946899999999999977e+02
1.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.950199999999999818e+02,2.946899999999999977e+02
2.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.950499999999999545e+02,2.946899999999999977e+02
2.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.953399999999999750e+02,2.946899999999999977e+02
2.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.953399999999999750e+02,2.946899999999999977e+02
2.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.956599999999999682e+02,2.946899999999999977e+02
2.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.956599999999999682e+02,2.946899999999999977e+02
2.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.959199999999999591e+02,2.946899999999999977e+02
2.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.959799999999999613e+02,2.946899999999999977e+02
2.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.962399999999999523e+02,2.946899999999999977e+02
2.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.962999999999999545e+02,2.946899999999999977e+02
2.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.965299999999999727e+02,2.948199999999999932e+02
3.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.966299999999999955e+02,2.947899999999999636e+02
3.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.969499999999999886e+02,2.948899999999999864e+02
3.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.969499999999999886e+02,2.949199999999999591e+02
3.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.949499999999999886e+02
3.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.972699999999999818e+02,2.950199999999999818e+02
3.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.975899999999999750e+02,2.949799999999999613e+02
3.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.976599999999999682e+02,2.950199999999999818e+02
3.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.979199999999999591e+02,2.950199999999999818e+02
3.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.982099999999999795e+02,2.950199999999999818e+02
3.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.982399999999999523e+02,2.950199999999999818e+02
4.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.985600000000000023e+02,2.950199999999999818e+02
4.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.985899999999999750e+02,2.950199999999999818e+02
4.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.988799999999999955e+02,2.950199999999999818e+02
4.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.991099999999999568e+02,2.950199999999999818e+02
4.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.991999999999999886e+02,2.950199999999999818e+02
4.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.993700000000000045e+02,2.951099999999999568e+02
4.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.995299999999999727e+02,2.952399999999999523e+02
4.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.998499999999999659e+02,2.953100000000000023e+02
4.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.998499999999999659e+02,2.953399999999999750e+02
4.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.001699999999999591e+02,2.953100000000000023e+02
5.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.001999999999999886e+02,2.953399999999999750e+02
5.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.004899999999999523e+02,2.953399999999999750e+02
5.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.006200000000000045e+02,2.953399999999999750e+02
5.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.008199999999999932e+02,2.953399999999999750e+02
5.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.011399999999999864e+02,2.953399999999999750e+02
5.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.011999999999999886e+02,2.953700000000000045e+02
5.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.014599999999999795e+02,2.953399999999999750e+02
5.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.016899999999999977e+02,2.953999999999999773e+02
