# Time (sec), X (m), Y (m), Z (m), Roll (deg), Yaw (deg), Pitch (deg), Xdot (m/s), Ydot (m/s), Zdot (m/s), Prop (kg), Throttle (0-1), GimbalX (deg), GimbalY (deg), GridX (deg), GridY (deg)
0.00, 6998.12, 3998.87, 37990.60, 0.00, 0.19, -0.12, -150.00, -90.00, -750.00, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
1.00, 6848.34, 3910.05, 37231.93, 0.00, 0.19, -0.07, -149.77, -88.83, -758.67, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
2.00, 6698.73, 3821.95, 36464.33, 0.00, 0.19, 0.02, -149.62, -88.10, -767.60, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
3.00, 6549.18, 3733.91, 35687.41, 0.00, 0.19, 0.11, -149.54, -88.04, -776.93, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
4.00, 6399.82, 3645.38, 34901.71, 0.00, 0.19, 0.17, -149.37, -88.53, -785.70, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
5.00, 6250.69, 3556.14, 34107.57, 0.00, 0.18, 0.18, -149.13, -89.24, -794.14, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
6.00, 6101.82, 3466.37, 33304.99, 0.00, 0.18, 0.15, -148.87, -89.77, -802.58, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
7.00, 5953.16, 3376.54, 32493.74, 0.00, 0.18, 0.12, -148.65, -89.83, -811.25, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
8.00, 5804.77, 3287.11, 31674.08, 0.00, 0.18, 0.10, -148.39, -89.43, -819.65, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
9.00, 5656.69, 3198.21, 30846.36, 0.00, 0.17, 0.09, -148.08, -88.90, -827.72, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
10.00, 5508.95, 3109.69, 30010.74, 0.00, 0.17, 0.10, -147.74, -88.52, -835.62, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
11.00, 5361.58, 3021.38, 29167.45, 0.00, 0.17, 0.10, -147.37, -88.32, -843.29, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
12.00, 5214.67, 2933.25, 28316.99, 0.00, 0.17, 0.10, -146.92, -88.13, -850.46, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
13.00, 5068.28, 2845.39, 27459.82, 0.00, 0.17, 0.10, -146.39, -87.85, -857.16, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
14.00, 4922.51, 2757.91, 26596.53, 0.00, 0.17, 0.10, -145.77, -87.48, -863.29, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
15.00, 4777.48, 2670.89, 25727.84, 0.00, 0.16, 0.10, -145.03, -87.03, -868.70, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
16.00, 4633.31, 2584.38, 24854.55, 0.00, 0.16, 0.10, -144.17, -86.51, -873.29, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
17.00, 4490.14, 2498.48, 23977.63, 0.00, 0.16, 0.10, -143.17, -85.90, -876.93, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
18.00, 4348.15, 2413.28, 23098.15, 0.00, 0.16, 0.10, -141.99, -85.20, -879.47, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
19.00, 4207.51, 2328.89, 22217.37, 0.00, 0.16, 0.09, -140.64, -84.39, -880.78, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
20.00, 4068.44, 2245.44, 21336.68, 0.00, 0.16, 0.09, -139.08, -83.45, -880.70, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
21.00, 3931.15, 2163.07, 20457.61, 0.00, 0.15, 0.09, -137.29, -82.38, -879.07, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
22.00, 3795.88, 2081.90, 19581.85, 0.00, 0.15, 0.09, -135.27, -81.16, -875.76, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
23.00, 3662.90, 2002.11, 18711.22, 0.00, 0.15, 0.09, -132.98, -79.79, -870.63, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
24.00, 3532.46, 1923.84, 17847.65, 0.00, 0.15, 0.09, -130.44, -78.27, -863.57, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
25.00, 3404.84, 1847.26, 16993.15, 0.00, 0.15, 0.09, -127.62, -76.58, -854.51, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
26.00, 3280.30, 1772.54, 16149.74, 0.00, 0.15, 0.09, -124.53, -74.72, -843.41, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
27.00, 3159.11, 1699.82, 15319.47, 0.00, 0.14, 0.09, -121.19, -72.72, -830.27, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
28.00, 3041.52, 1629.26, 14504.33, 0.00, 0.14, 0.09, -117.59, -70.56, -815.15, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
29.00, 2927.75, 1561.00, 13706.18, 0.00, 0.14, 0.08, -113.77, -68.27, -798.15, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
30.00, 2817.99, 1495.14, 12926.74, 0.00, 0.14, 0.08, -109.76, -65.86, -779.44, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
31.00, 2712.41, 1431.79, 12167.54, 0.00, 0.14, 0.08, -105.58, -63.35, -759.20, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
32.00, 2611.13, 1371.02, 11429.87, 0.00, 0.14, 0.08, -101.28, -60.77, -737.67, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
33.00, 2514.23, 1312.88, 10714.75, 0.00, 0.13, 0.08, -96.90, -58.14, -715.11, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
34.00, 2421.77, 1257.39, 10022.96, 0.00, 0.13, 0.08, -92.47, -55.48, -691.79, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
35.00, 2333.73, 1204.57, 9354.98, 0.00, 0.13, 0.08, -88.04, -52.83, -667.98, 20850.00, 1.00, 0.00, 0.00, 0.00, 0.00
