# # Time (sec), X (m), Y (m), Z (m), Xdot (m/s), Ydot (m/s), Zdot (m/s), PropMass (kg), Throttle (0-1), Yaw (deg), Pitch (deg)
0.0000, 6178.3057, 3506.9260, 33744.9648, -148.5354, -89.2251, -796.6630, 20850.0000, 0.0000, 0.0000, 0.0000
1.0000, 6032.8352, 3419.5617, 32957.9913, -145.4705, -87.3643, -786.9735, 20594.9976, 0.8500, 0.9999, 0.9997
2.0000, 5890.7738, 3334.2568, 32180.9033, -142.0614, -85.3049, -777.0880, 20339.9961, 0.8500, 1.9998, 1.9994
3.0000, 5752.3980, 3251.1375, 31413.8241, -138.3758, -83.1192, -767.0792, 20085.0810, 0.8497, 2.9997, 2.9991
4.0000, 5617.9013, 3170.2440, 30656.7788, -134.4967, -80.8935, -757.0453, 19830.6099, 0.8482, 3.9996, 3.9987
5.0000, 5485.9924, 3090.0997, 29893.4778, -131.9089, -80.1443, -763.3010, 19829.4860, 0.0037, 4.9994, 4.9982
6.0000, 5356.4029, 3010.2377, 29123.8881, -129.5895, -79.8620, -769.5898, 19829.0710, 0.0014, 5.9993, 5.9972
7.0000, 5228.7190, 2930.5072, 28347.9728, -127.6839, -79.7306, -775.9152, 19828.8218, 0.0008, 6.9991, 6.1614
8.0000, 5102.3415, 2850.8176, 27565.6135, -126.3776, -79.6896, -782.3594, 19828.6472, 0.0006, 7.9989, 6.1623
9.0000, 4976.4942, 2771.0822, 26776.8598, -125.8473, -79.7354, -788.7536, 19828.5128, 0.0004, 8.9987, 6.1627
10.0000, 4850.3620, 2691.3221, 25982.9692, -126.1322, -79.7600, -793.8906, 19828.4010, 0.0004, 9.9983, 6.1629
11.0000, 4722.9760, 2611.5991, 25185.7311, -127.3861, -79.7231, -797.2381, 19828.3009, 0.0003, 10.9976, 6.1631
12.0000, 4593.7641, 2531.9337, 24386.6292, -129.2119, -79.6654, -799.1019, 19828.2047, 0.0003, 11.4396, 6.1632
13.0000, 4462.6179, 2452.3011, 23586.7467, -131.1462, -79.6326, -799.8825, 19828.1067, 0.0003, 11.4402, 6.1633
14.0000, 4329.4779, 2372.6816, 22787.2268, -133.1399, -79.6195, -799.5199, 19828.0026, 0.0003, 11.4405, 6.1634
15.0000, 4194.3474, 2293.0656, 21989.2593, -135.1305, -79.6160, -797.9675, 19827.8888, 0.0004, 11.4407, 6.1634
16.0000, 4057.3026, 2213.4582, 21194.0661, -137.0448, -79.6074, -795.1932, 19827.7622, 0.0004, 11.4408, 6.1634
17.0000, 3918.5003, 2133.8843, 20402.8879, -138.8023, -79.5739, -791.1782, 19827.6199, 0.0005, 11.4409, 6.1634
18.0000, 3778.1797, 2054.3922, 19616.9721, -140.3206, -79.4921, -785.9158, 19827.4591, 0.0005, 11.4409, 6.1634
19.0000, 3636.6586, 1975.0565, 18837.5639, -141.5211, -79.3357, -779.4082, 19827.2768, 0.0006, 11.4410, 6.1634
20.0000, 3494.3235, 1895.9786, 18065.8993, -142.3351, -79.0779, -771.6646, 19827.0703, 0.0007, 11.4410, 6.1634
21.0000, 3351.6152, 1817.2853, 17303.2006, -142.7084, -78.6933, -762.6987, 19826.8365, 0.0008, 11.4410, 6.1634
22.0000, 3209.0102, 1739.1253, 16550.6717, -142.6050, -78.1600, -752.5289, 19826.5724, 0.0009, 11.4410, 6.1634
23.0000, 3067.0017, 1661.6642, 15809.4923, -142.0084, -77.4611, -741.1794, 19826.2748, 0.0010, 11.4410, 6.1634
24.0000, 2926.0801, 1585.0775, 15080.8100, -140.9216, -76.5867, -728.6823, 19825.9401, 0.0011, 11.4410, 6.1633
25.0000, 2786.7158, 1509.5441, 14365.7281, -139.3643, -75.5334, -715.0819, 19825.5648, 0.0013, 11.4410, 6.1633
26.0000, 2649.3456, 1435.2389, 13665.2903, -137.3702, -74.3052, -700.4378, 19825.1449, 0.0014, 11.4409, 6.1632
27.0000, 2514.3626, 1362.3271, 12980.4631, -134.9830, -72.9118, -684.8272, 19824.6760, 0.0016, 11.4409, 6.1632
28.0000, 2382.1098, 1290.9588, 12312.1167, -132.2528, -71.3683, -668.3464, 19824.1534, 0.0017, 11.4408, 6.1631
29.0000, 2252.8772, 1221.2654, 11661.0068, -129.2326, -69.6934, -651.1099, 19823.5717, 0.0019, 11.4408, 6.1630
30.0000, 2126.9014, 1153.3572, 11027.7596, -125.9758, -67.9082, -633.2472, 19822.9250, 0.0022, 11.4407, 6.1630
