# # Time (sec), X (m), Y (m), Z (m), Xdot (m/s), Ydot (m/s), Zdot (m/s), PropMass (kg), Throttle (0-1), Yaw (deg), Pitch (deg)
0.0000, 6700.1333, 3820.0205, 38000.0000, -149.8647, -89.9853, -750.0000, 20850.0000, 0.5700, 11.0000, 7.0000
2.0000, 6406.8180, 3643.9865, 36512.8072, -145.5506, -87.3086, -747.7427, 20508.0000, 0.5700, 11.0620, 6.1784
4.0000, 6115.8294, 3469.5323, 34998.5395, -145.4443, -87.1386, -766.4147, 20508.0000, 0.5700, 11.0620, 6.1784
6.0000, 5825.0295, 3295.4464, 33447.3641, -145.3699, -86.9410, -784.5858, 20508.0000, 0.5700, 11.0620, 6.1784
8.0000, 5534.3221, 3121.7814, 31860.5390, -145.3654, -86.7207, -801.9738, 20508.0000, 0.5700, 11.0620, 6.1784
10.0000, 5243.5128, 2948.5708, 30239.9911, -145.4914, -86.4925, -818.1821, 20508.0000, 0.5700, 11.0620, 6.1784
12.0000, 4952.2612, 2775.8062, 28588.5848, -145.8316, -86.2838, -832.6627, 20508.0000, 0.5700, 11.0620, 6.1784
14.0000, 4660.0403, 2603.4115, 26910.4557, -146.4828, -86.1335, -844.6915, 20508.0000, 0.5700, 11.0620, 6.1784
16.0000, 4366.1354, 2431.2245, 25211.3669, -147.5221, -86.0834, -853.3770, 20508.0000, 0.5700, 11.0620, 6.1784
18.0000, 4069.7397, 2259.0126, 23498.9960, -148.9442, -86.1534, -857.7245, 20508.0000, 0.5700, 11.0620, 6.1784
20.0000, 3770.2054, 2086.5545, 21783.0232, -150.5760, -86.3013, -856.7676, 20508.0000, 0.5700, 11.0620, 6.1784
22.0000, 3467.4609, 1913.8108, 20074.9035, -152.0137, -86.3819, -849.7342, 20508.0000, 0.5700, 11.0620, 6.1784
24.0000, 3162.4742, 1741.1521, 18387.3318, -152.6540, -86.1404, -836.1677, 20508.0000, 0.5700, 11.0620, 6.1784
26.0000, 2857.5117, 1569.5351, 16733.5764, -151.8589, -85.2705, -815.9382, 20508.0000, 0.5700, 11.0620, 6.1784
28.0000, 2555.9671, 1400.4985, 15126.8895, -149.1872, -83.5240, -789.1827, 20508.0000, 0.5700, 11.0620, 6.1784
30.0000, 2261.7758, 1235.9351, 13580.0045, -144.5469, -80.8066, -756.3024, 20508.0000, 0.5700, 11.0620, 6.1784
32.0000, 1974.5312, 1077.2990, 12100.9422, -136.4390, -77.3397, -719.1985, 20508.0000, 0.5700, 10.0620, 6.1784
34.0000, 1718.2445, 926.9213, 10704.3940, -121.6622, -73.0043, -677.4299, 20508.0000, 0.5700, 10.0620, 6.1784
36.0000, 1484.4782, 783.0998, 9389.3500, -112.1087, -66.9235, -634.6695, 20508.0000, 0.5700, 10.0620, 5.5227
38.0000, 1267.3945, 658.7646, 8157.0017, -103.3882, -57.8013, -588.1178, 20508.0000, 0.5700, 10.0620, 5.5227
40.0000, 1072.2741, 550.6828, 7045.4821, -91.9775, -50.6761, -524.6563, 20166.0000, 0.5700, 10.0620, 5.5227
42.0000, 898.9891, 455.3939, 6055.7627, -81.5726, -44.8070, -466.5592, 19824.0000, 0.5700, 10.0620, 5.5227
44.0000, 745.4479, 371.0881, 5176.2072, -72.2342, -39.6533, -414.5153, 19482.0000, 0.5700, 10.0620, 5.5227
46.0000, 609.5182, 296.4747, 4394.6470, -63.9460, -35.0991, -368.4772, 19140.0000, 0.5700, 10.0620, 5.5227
48.0000, 489.1085, 230.3846, 3699.1397, -56.6327, -31.0842, -328.0068, 18798.0000, 0.5881, 10.0620, 5.5227
50.0000, 382.1377, 171.8763, 3079.9546, -49.8271, -27.5146, -292.1802, 18445.1434, 0.6268, 9.7683, 5.5227
52.0000, 287.8883, 118.7698, 2525.9007, -42.5003, -23.5115, -260.7546, 18069.0564, 0.6712, 8.7683, 4.5227
54.0000, 210.1576, 76.5751, 2032.3223, -34.1612, -17.6738, -231.3813, 17666.3642, 0.7129, 7.7683, 3.5227
56.0000, 148.7332, 45.9482, 1596.2384, -26.5829, -12.3458, -203.5640, 17238.6514, 0.7563, 6.7683, 2.5227
58.0000, 101.5898, 25.2462, 1214.3591, -20.1106, -7.9709, -177.3928, 16784.8902, 0.7956, 5.7683, 1.5227
60.0000, 66.4800, 12.4888, 883.4800, -14.7212, -4.5679, -152.6745, 16307.5097, 0.8337, 4.7683, 0.5227
62.0000, 41.3333, 5.9604, 601.3470, -10.3269, -2.1859, -129.1346, 15807.2782, 0.8684, 3.7683, 0.0962
64.0000, 24.1479, 3.0027, 364.9613, -6.8746, -0.9993, -106.9349, 15286.2391, 0.9006, 2.7683, 0.0962
66.0000, 13.1241, 1.5610, 172.2088, -4.2687, -0.5211, -85.5101, 14745.8892, 0.9233, 1.7683, 0.0962
68.0000, 6.6075, 0.7743, 21.9376, -2.4620, -0.2955, -64.4736, 14191.9109, 0.9424, 0.7683, 0.0962
70.0000, 2.8413, 0.3231, -85.9449, -1.4114, -0.1683, -43.4869, 13626.4532, 0.9489, 0.7683, 0.0962
72.0000, 0.7636, 0.0774, -152.2672, -0.7099, -0.0825, -22.8960, 13057.1230, 0.9482, 0.7683, 0.0962
74.0000, 0.0160, -0.0040, -169.5806, -0.1526, -0.0132, -2.3678, 12488.2249, 0.5700, 0.7683, 0.0962
76.0000, 0.0386, 0.0108, -169.6389, 0.1738, 0.0277, 2.3591, 12146.2249, 0.5700, 0.7683, 0.0962
